,Time,Heart rate (BPM),Steps,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,2022-07-16 09:30:28,207.0,0,0,1,0,0
1,2022-07-16 09:30:29,207.0,1,0,0,1,0
2,2022-07-16 09:30:30,207.0,0,0,1,0,0
3,2022-07-16 09:30:31,207.0,0,0,1,0,0
4,2022-07-16 09:30:32,207.0,1,0,1,0,0
5,2022-07-16 09:30:33,207.0,1,0,1,0,0
6,2022-07-16 09:30:34,207.0,1,0,1,0,0
7,2022-07-16 09:30:35,207.0,0,0,0,1,0
8,2022-07-16 09:30:36,207.0,0,0,0,1,0
9,2022-07-16 09:30:37,207.0,0,0,0,1,0
10,2022-07-16 09:30:38,207.0,1,0,1,0,0
11,2022-07-16 09:30:39,207.0,0,0,1,0,0
12,2022-07-16 09:30:40,207.0,1,0,1,0,0
13,2022-07-16 09:30:52,72.0,0,0,1,0,0
14,2022-07-16 09:30:53,72.0,0,0,1,0,0
15,2022-07-16 09:30:54,72.0,0,1,0,0,0
16,2022-07-16 09:30:55,72.0,0,0,1,0,0
17,2022-07-16 09:30:56,72.0,1,0,1,0,0
18,2022-07-16 09:30:59,111.0,0,0,0,1,0
19,2022-07-16 09:31:00,111.0,0,0,0,1,0
20,2022-07-16 09:31:01,111.0,0,0,0,1,0
21,2022-07-16 09:31:02,112.0,0,0,0,1,0
22,2022-07-16 09:31:03,113.0,1,0,1,0,0
23,2022-07-16 09:31:04,112.0,0,0,1,0,0
24,2022-07-16 09:31:05,111.0,1,0,1,0,0
25,2022-07-16 09:31:06,109.0,0,0,1,0,0
26,2022-07-16 09:31:07,107.0,0,0,1,0,0
27,2022-07-16 09:31:08,106.0,0,1,0,0,0
28,2022-07-16 09:31:09,106.0,0,1,0,0,0
29,2022-07-16 09:31:10,106.0,0,1,0,0,0
30,2022-07-16 09:31:11,105.0,0,1,0,0,0
31,2022-07-16 09:31:12,105.0,0,1,0,0,0
32,2022-07-16 09:31:13,104.0,0,1,0,0,0
33,2022-07-16 09:31:14,104.0,0,0,0,0,1
34,2022-07-16 09:31:15,105.0,0,0,0,0,1
35,2022-07-16 09:31:16,106.0,0,0,0,0,1
36,2022-07-16 09:31:17,107.0,0,0,0,0,1
37,2022-07-16 09:31:18,107.0,0,1,0,0,0
38,2022-07-16 09:31:25,108.0,0,0,1,0,0
39,2022-07-16 09:31:26,108.0,0,0,0,1,0
